Mine Name,Reserve (MT),Grade (% Mn),Rainfall (mm/yr),Elevation (m),Mine Type,Monthly Production (MT),Workforce,OMS (Tonnes),Monthly Development (m)
Mansar,3.5 - 4.5,38% - 46%,1100 - 1200,300 - 340,Underground,10000 - 12500,850 - 1100,0.45 - 0.55,120 - 180
Kandri,5.0 - 6.0,>44% - 48%,1150 - 1200,310 - 350,Underground,14000 - 18000,1200 - 1450,0.50 - 0.60,150 - 220
Ukwa,4.0 - 5.5,42% - 46%,1400 - 1600,550 - 600,Underground,11000 - 14000,950 - 1200,0.45 - 0.52,130 - 190
Tirodi,2.5 - 3.5,36% - 44%,1300 - 1450,325 - 345,Open Cast,15000 - 20000,500 - 700,1.10 - 1.45,N/A (OB Removal)
Gumgaon,2.0 - 3.0,38% - 42%,1100 - 1200,290 - 320,Underground,6000 - 8500,650 - 800,0.40 - 0.48,80 - 120
Ramtek (Parseoni),1.0 - 1.8,32% - 38%,1150 - 1200,300 - 330,Open Cast / UG,3500 - 5500,300 - 450,0.65 - 0.85,30 - 60
Sitasaongi,1.5 - 2.5,35% - 40%,1200 - 1300,310 - 340,Underground,5000 - 7000,550 - 700,0.38 - 0.45,60 - 100
Parsoda,0.8 - 1.2,30% - 36%,1150 - 1200,300 - 320,Open Cast,2500 - 4000,150 - 250,0.90 - 1.20,N/A (OB Removal)
Miragpur,0.5 - 1.0,28% - 35%,1350 - 1500,330 - 360,UG / Open Cast,1500 - 3000,120 - 200,0.50 - 0.70,20 - 50
Netra,1.0 - 1.5,34% - 40%,1350 - 1500,340 - 370,Open Cast,3000 - 5000,180 - 280,0.85 - 1.15,N/A (OB Removal)
Beldongri,0.8 - 1.5,40% - 45%,1100 - 1200,295 - 315,Underground,2500 - 4000,250 - 350,0.42 - 0.50,40 - 70
Gowari Wadhona,0.5 - 1.2,28% - 34%,1050 - 1150,380 - 420,Open Cast,1500 - 3000,100 - 180,0.80 - 1.10,N/A (OB Removal)
